Company name,Num_Positive
3M,53
Abbott,51
ADM,66.66666667
Adobe,40.35087719
ADP,34.40860215
AES,38
Aflac,60
Agilent Technologies,30
AIG,37
Air Products,12
Allstate,42
Altria,45.83333333
Amazon,53.125
AMD,60
Ameren,50
American Electric Power,30
American Express,42
Ameriprise Financial,60
AmerisourceBergen,41
Amgen,33.33333333
Analog Devices,37
Aon,58.10810811
APA Corporation,23
Apple,48
Applied Materials,45
AT&T,52
Autodesk,27
AutoZone,65
Avery Dennison,33.33333333
Ball,44
Bank of America,56
Bath & Body Works,39
Baxter,46
Becton Dickinson,33.82352941
Best Buy,35
Biogen,45
BNY Mellon,26.31578947
Boeing,57
Boston Scientific,33
Bristol Myers Squibb,34.09090909
Brown–Forman,28
Campbell's,39
Capital One,41.25
Cardinal Health,29
Carnival,36
Caterpillar,40
CenterPoint Energy,24
Charles Schwab,37
Chevron,43
Cigna,42
Cincinnati Financial,62
Cintas,37.93103448
Cisco,32.43243243
Citigroup,37
Citrix,33.33333333
Clorox,40
CMS Energy,25
Coca-Cola,39
Colgate-Palmolive,18
Comcast,62.88659794
Comerica,47
Con Edison,52
Conagra Brands,53
ConocoPhillips,38
Constellation Brands,36.95652174
Corning,31
Costco,55
CSX,33.84615385
Cummins,68
CVS Health,42
D.R. Horton,24
Danaher,28.72340426
Darden,40
Deere & Co.,68
Devon,45
Disney,21.21212121
Dominion Energy,23
Dover,45.09803922
DTE,40
Duke Energy,37
Eastman,41
Eaton,37.97468354
eBay,38
Ecolab,39
Edison International,32
Electronic Arts,49
Emerson,50
Entergy,38
EOG Resources,51
Equifax,58
Equity Residential,42
Exelon,47
ExxonMobil,38
FedEx,57
Fifth Third Bank,51
FirstEnergy,37
Fiserv,31
Ford,46
Franklin Templeton,45
Freeport-McMoRan,46.80851064
GE,32.96703297
General Dynamics,23
General Mills,34
Genuine Parts,36
Gilead,39
Globe Life,26
Goldman Sachs,46.77419355
Grainger,54
Halliburton,42
Hartford (The),42
Hasbro,47
Hershey's,52.38095238
Hess,49
Home Depot,65
Honeywell,31.57894737
HP,50
Huntington National Bank,28
IBM,33.33333333
Illinois Tool Works,20
Intel,37.14285714
International Flavors & Fragrances,16
International Paper,31
Interpublic Group,25
Intuit,46
Johnson & Johnson,51.2195122
JPMorgan Chase,26
Kellogg's,28.57142857
KeyCorp,29
Kimberly-Clark,14.28571429
KLA,36.36363636
Kroger,45
LabCorp,38
Lennar,44
Lilly,41
Lincoln Financial,43
Linde,40
Lockheed Martin,51
Loews Corporation,51
Lowe's,47
Lumen,37.5
M&T Bank,79
Marathon Oil,46
Marriott International,13
Marsh & McLennan,41
Masco,52.7027027
McCormick,37
McDonald's,48
McKesson,52
Medtronic,23
Merck,27.45098039
MetLife,63
Micron,53
Microsoft,37.77777778
Molson Coors,45
Moody's,52
Morgan Stanley,42
Motorola Solutions,32
NetApp,30
Newell Brands,17
Newmont,44.44444444
NextEra Energy,11
Nike,67.64705882
NiSource,34
Norfolk Southern,52
Northern Trust,16
Northrop Grumman,11
NortonLifeLock,44.68085106
Nucor,42
Nvidia,45.36082474
Occidental Petroleum,40.69767442
Omnicom Group,43
Oracle,51
Paccar,39
Parker,38.15789474
Paychex,30
PepsiCo,37.09677419
PerkinElmer,23
Pfizer,36.66666667
Pinnacle West,15
PNC Financial Services,49
PPG Industries,28
PPL,84
Principal,27
Procter & Gamble,30
Progressive,52.56410256
Prologis,22
Prudential,26.86567164
PSEG,38
Public Storage,27
PulteGroup,39
Qualcomm,24.56140351
Quest Diagnostics,57.5
Raytheon Technologies,36
Regions,29.88505747
Robert Half,35
Rockwell Automation,43
S&P Global,35.38461538
Schlumberger,25.80645161
Sealed Air,29.33333333
Sempra Energy,23
Sherwin-Williams,35
Simon,39
Snap-on,39
Southern Company,35
Southwest Airlines,56
Stanley Black & Decker,45
Starbucks,57.5
State Street,81.57894737
Stryker,34
Sysco,39
T. Rowe Price,36
Tapestry,32
Target,39
Texas Instruments,46
Textron,18.46153846
TJX Companies,46
Travelers,44
Truist,32.5
Tyson,48
U.S. Bank,61
Union Pacific,41
United Parcel Service,10
UnitedHealth Group,16
Valero,35
Verizon,63
VF Corporation,17
Viatris,40
Vornado Realty Trust,61.11111111
Vulcan Materials,38
Walgreens Boots Alliance,47
Walmart,49
Waste Management,23
Waters,47
Wells Fargo,56
Weyerhaeuser,34
Whirlpool,43.02325581
Williams,44
Xcel Energy,31.11111111
Yum! Brands,45
Zimmer Biomet,25
Zions Bancorp,34
